	#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	Taxonomy
403185	GCF_963930625.1	PRJNA1126686	SAMEA110690972	CAWVNM000000000.1	reference genome	9886	9886	Muntiacus reevesi	na	na	latest	Chromosome	Major	Full	2024/01/31	mMunRee1.1	WELLCOME SANGER INSTITUTE	GCA_963930625.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/930/625/GCF_963930625.1_mMunRee1.1	na	na	na	haploid	vertebrate_mammalian	2656168540	2656032140	42.0	23	267	267	NCBI RefSeq	GCF_963930625.1-RS_2024_06	2024-06-21	33112	21410	6360	na	Mammals
1237	GCF_000146605.3	PRJNA62397	SAMN02981253	ADDD00000000.2	reference genome	9103	9103	Meleagris gallopavo	breed=Aviagen turkey brand Nicholas breeding stock	NT-WF06-2002-E0010	latest	Chromosome	Minor	Full	2019/10/21	Turkey_5.1	Turkey Genome Consortium	GCA_000146605.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/605/GCF_000146605.3_Turkey_5.1	na	na	na	haploid	vertebrate_other	1115457962	1080163535	41.5	32	187694	250219	NCBI RefSeq	NCBI Meleagris gallopavo Annotation Release 103	2019-11-07	24368	17974	6098	20838655	Birds
4374	GCF_000247815.1	PRJNA208061	SAMN02981387	AGTO00000000.2	reference genome	59894	59894	Ficedula albicollis	na	OC2	latest	Chromosome	Major	Full	2013/06/27	FicAlb1.5	Uppsala University	GCA_000247815.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/815/GCF_000247815.1_FicAlb1.5	na	na	na	haploid	vertebrate_other	1118326800	1102309083	44.0	33	21835	30842	NCBI RefSeq	NCBI Ficedula albicollis Annotation Release 101	2016-04-13	16880	15400	1381	23103876;24923674	Birds
24182	GCF_000738735.6	PRJNA258180	SAMN02143031	JPSR00000000.4	reference genome	932674	181096	Corvus cornix cornix	na	S_Up_H32	latest	Chromosome	Minor	Full	2022/04/01	ASM73873v6	Uppsala University	GCA_000738735.6	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/738/735/GCF_000738735.6_ASM73873v6	na	na	na	haploid	vertebrate_other	1030864775	1027607882	42.0	29	46	46	NCBI RefSeq	NCBI Corvus cornix cornix Annotation Release 104	2022-04-12	17944	14435	3427	28360231;24948738	Birds
54743	GCF_001522545.3	PRJNA312399	SAMN03083587	JRXK00000000.1	reference genome	9157	9157	Parus major	na	Abel	latest	Chromosome	Minor	Full	2019/01/15	Parus_major1.1	Animal Breeding and Genomics Centre, Wageningen University	GCA_001522545.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/522/545/GCF_001522545.3_Parus_major1.1	na	na	na	haploid	vertebrate_other	1020293992	1002294058	41.5	32	1674	24043	NCBI RefSeq	NCBI Parus major Annotation Release 102	2020-04-08	19061	15069	3935	26805030;30621573	Birds
57013	GCF_001577835.2	PRJNA314147	SAMN03989050	LSZS00000000.1	reference genome	93934	93934	Coturnix japonica	na	7356	latest	Chromosome	Minor	Full	2016/03/01	Coturnix japonica 2.1	McDonnell Genome Institute - Washington University School of Medicine	GCA_001577835.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.2_Coturnix_japonica_2.1	na	na	na	haploid	vertebrate_other	927640260	917246527	41.5	31	2530	9641	NCBI RefSeq	NCBI Coturnix japonica Annotation Release 101	2020-02-06	20956	16026	4736	11736810	Birds
74654	GCF_002078875.1	PRJNA383663	SAMN05969731	MTSP00000000.1	reference genome	8996	8996	Numida meleagris	breed=g44 Domestic line	19003	latest	Chromosome	Major	Full	2017/06/01	NumMel1.0	INRA	GCA_002078875.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/875/GCF_002078875.1_NumMel1.0	na	na	na	haploid	vertebrate_other	1043247365	1023127517	41.5	31	2738	2738	NCBI RefSeq	NCBI Numida meleagris Annotation Release 100	2017-06-05	21846	16083	5599	na	Birds
120121	GCF_003957555.1	PRJNA558503	SAMN02265252	RRCD00000000.1	reference genome	9244	9244	Calypte anna	na	BGI_N300	latest	Chromosome	Major	Full	2019/05/16	bCalAnn1_v1.p	Vertebrate Genomes Project	GCA_003957555.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p	na	na	na	haploid	vertebrate_other	1059687259	1043590483	41.5	33	159	159	NCBI RefSeq	NCBI Calypte anna Annotation Release 101	2019-08-05	16230	14711	1339	na	Birds
120122	GCF_003957565.2	PRJNA558048	SAMN02981239	RRCB00000000.2	reference genome	59729	59729	Taeniopygia guttata	na	Black17	latest	Chromosome	Major	Full	2021/05/04	bTaeGut1.4.pri	Vertebrate Genomes Project	GCA_003957565.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/565/GCF_003957565.2_bTaeGut1.4.pri	na	na	na	haploid	vertebrate_other	1056254409	1052619621	42.0	41	198	198	NCBI RefSeq	NCBI Taeniopygia guttata Annotation Release 106	2021-05-13	21933	16520	5189	33910595;33911273	Birds
122719	GCF_004027225.2	PRJNA558775	SAMN09948751	RXXE00000000.2	reference genome	2489341	2489341	Strigops habroptila	na	Jane	latest	Chromosome	Major	Full	2020/03/04	bStrHab1.2.pri	Vertebrate Genomes Project	GCA_004027225.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/027/225/GCF_004027225.2_bStrHab1.2.pri	na	na	na	haploid	vertebrate_other	1148597545	1138053485	42.0	25	89	89	NCBI RefSeq	NCBI Strigops habroptila Annotation Release 101	2020-03-13	19379	16053	3130	33911273	Birds
134180	GCF_005870125.1	PRJNA391487	SAMN11521339	SWKX00000000.1	reference genome	40157	40157	Lonchura striata	na	Mets1	latest	Chromosome	Major	Full	2019/06/05	lonStrDom2	HHMI/UCSF	GCA_005870125.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/870/125/GCF_005870125.1_lonStrDom2	na	na	na	haploid	vertebrate_other	1060252993	1029001477	41.5	31	2014	2014	NCBI RefSeq	GCF_005870125.1-RS_2024_09	2024-09-20	18674	15577	2979	26190080	Birds
146733	GCF_009650955.1	PRJNA599199	SAMN12368441	WHPO00000000.1	reference genome	1196302	1196302	Corvus moneduloides	na	bCorMon1	latest	Chromosome	Major	Full	2019/11/14	bCorMon1.pri	Vertebrate Genomes Project	GCA_009650955.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/650/955/GCF_009650955.1_bCorMon1.pri	na	na	na	haploid	vertebrate_other	1112734094	1083863899	42.5	36	105	105	NCBI RefSeq	NCBI Corvus moneduloides Annotation Release 100	2020-01-06	20781	16167	4479	na	Birds
149448	GCF_009769625.2	PRJNA642912	SAMN12621369	WNMI00000000.2	reference genome	8869	8869	Cygnus olor	na	bCygOlo1	latest	Chromosome	Major	Full	2021/03/31	bCygOlo1.pri.v2	Vertebrate Genomes Project	GCA_009769625.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/625/GCF_009769625.2_bCygOlo1.pri.v2	na	na	na	haploid	vertebrate_other	1134169903	1124247178	42.0	36	170	170	NCBI RefSeq	NCBI Cygnus olor Annotation Release 100	2021-04-02	23209	16150	6899	26153738	Birds
150690	GCF_009819655.1	PRJNA1125396	SAMN12369542	WNMY00000000.1	reference genome	48155	48155	Sylvia atricapilla	na	bSylAtr1	latest	Chromosome	Major	Full	2019/12/31	bSylAtr1.pri	Vertebrate Genomes Project	GCA_009819655.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/655/GCF_009819655.1_bSylAtr1.pri	na	na	na	haploid	vertebrate_other	1066786587	1054861233	42.0	35	189	189	NCBI RefSeq	GCF_009819655.1-RS_2024_07	2024-07-03	18169	15521	2331	18178969	Birds
150692	GCF_009819795.1	PRJNA602521	SAMN12621346	WNMM00000000.1	reference genome	219594	219594	Aythya fuligula	na	bAytFul2	latest	Chromosome	Major	Full	2019/12/31	bAytFul2.pri	Vertebrate Genomes Project	GCA_009819795.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/795/GCF_009819795.1_bAytFul2.pri	na	na	na	haploid	vertebrate_other	1126988109	1117570712	41.5	36	104	104	NCBI RefSeq	NCBI Aythya fuligula Annotation Release 100	2020-01-23	17219	15578	1451	24972046	Birds
150693	GCF_009819885.2	PRJNA613294	SAMN12618602	WNMQ00000000.2	reference genome	91951	91951	Catharus ustulatus	na	bCatUst1	latest	Chromosome	Major	Full	2020/12/22	bCatUst1.pri.v2	Vertebrate Genomes Project	GCA_009819885.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/885/GCF_009819885.2_bCatUst1.pri.v2	na	na	na	haploid	vertebrate_other	1131616530	1118712835	42.5	41	160	160	NCBI RefSeq	NCBI Catharus ustulatus Annotation Release 101	2021-07-26	19631	16929	2327	na	Birds
151034	GCF_009829145.1	PRJNA603801	SAMN12620979	WNMC00000000.1	reference genome	296741	296741	Chiroxiphia lanceolata	na	bChiLan1	latest	Chromosome	Major	Full	2020/01/03	bChiLan1.pri	Vertebrate Genomes Project	GCA_009829145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/829/145/GCF_009829145.1_bChiLan1.pri	na	na	na	haploid	vertebrate_other	1089631598	1086328087	42.0	35	93	93	NCBI RefSeq	NCBI Chiroxiphia lanceolata Annotation Release 100	2020-02-03	20299	15873	4307	na	Birds
155732	GCF_011077185.1	PRJNA641662	SAMN13257492	JAACYN000000000.1	reference genome	8884	8884	Oxyura jamaicensis	breed=ruddy duck	SHBP4307	latest	Chromosome	Major	Full	2020/03/10	BPBGC_Ojam_1.0	Brood Parasitic Bird Genomes Consortium	GCA_011077185.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/077/185/GCF_011077185.1_BPBGC_Ojam_1.0	na	na	na	haploid	vertebrate_other	1147585764	1116231236	42.0	34	9642	28026	NCBI RefSeq	NCBI Oxyura jamaicensis Annotation Release 100	2020-06-29	23874	16416	7366	na	Birds
158114	GCF_012275295.1	PRJNA629576	SAMN12623090	JAAVWG000000000.1	reference genome	13146	13146	Melopsittacus undulatus	na	bMelUnd1	latest	Chromosome	Major	Full	2020/04/13	bMelUnd1.mat.Z	G10K	GCA_012275295.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/295/GCF_012275295.1_bMelUnd1.mat.Z	na	na	na	haploid	vertebrate_other	1171617451	1168381322	42.0	32	864	864	NCBI RefSeq	NCBI Melopsittacus undulatus Annotation Release 104	2020-04-30	18613	16458	1879	na	Birds
158471	GCF_012460135.2	PRJNA665515	SAMN14074414	JAAQZI000000000.1	reference genome	84834	84834	Molothrus ater	breed=brown headed cowbird	BHLD 08-10-18	latest	Chromosome	Major	Full	2022/10/11	BPBGC_Mater_1.1	Brood Parasitic Bird Genomes Consortium	GCA_012460135.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/460/135/GCF_012460135.2_BPBGC_Mater_1.1	na	na	na	haploid	vertebrate_other	1087219985	1087156585	42.5	41	373	691	NCBI RefSeq	GCF_012460135.2-RS_2023_03	2023-03-22	18259	16046	1999	na	Birds
163526	GCF_013368605.1	PRJNA1158839	SAMN12622411	JABXNV000000000.1	reference genome	48427	48427	Nyctibius grandis	na	bNycGra1	latest	Chromosome	Major	Full	2020/06/23	bNycGra1.pri	Vertebrate Genomes Project	GCA_013368605.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/368/605/GCF_013368605.1_bNycGra1.pri	na	na	na	haploid	vertebrate_other	1256393467	1250254334	42.5	38	190	190	NCBI RefSeq	GCF_013368605.1-RS_2024_09	2024-09-13	17583	15872	1408	na	Birds
163828	GCF_013377495.2	PRJNA646059	SAMN15332785	JABXOC000000000.2	reference genome	8868	8868	Cygnus atratus	ecotype=Queensland, Australia	AKBS03	latest	Chromosome	Major	Full	2022/08/03	CAtr_DNAZoo_HiC_assembly	The University of Queensland	GCA_013377495.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/377/495/GCF_013377495.2_CAtr_DNAZoo_HiC_assembly	na	na	na	haploid	vertebrate_other	1124217020	1124152020	42.0	35	567	567	NCBI RefSeq	GCF_013377495.2-RS_2023_02	2023-02-27	18459	15671	2535	19823953	Birds
172436	GCF_014839835.1	PRJNA940839	SAMN12629497	JACNMV000000000.1	reference genome	118200	118200	Dryobates pubescens	na	bDryPub1	latest	Chromosome	Major	Full	2020/10/02	bDryPub1.pri	Vertebrate Genomes Project	GCA_014839835.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/839/835/GCF_014839835.1_bDryPub1.pri	na	na	na	haploid	vertebrate_other	1187939694	1183936564	45.5	46	180	180	NCBI RefSeq	GCF_014839835.1-RS_2023_03	2023-03-06	16340	15338	901	na	Birds
174914	GCF_015220075.1	PRJNA675116	SAMN12629496	JADCQO000000000.1	reference genome	120794	120794	Falco rusticolus	na	bFalRus1	latest	Chromosome	Major	Full	2020/11/03	bFalRus1.pri	Vertebrate Genomes Project	GCA_015220075.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri	na	na	na	haploid	vertebrate_other	1195829278	1190483464	42.0	24	132	132	NCBI RefSeq	NCBI Falco rusticolus Annotation Release 100	2020-11-06	19484	15894	3407	26731535	Birds
174919	GCF_015220805.1	PRJNA1092276	SAMN15098508	JADCQK000000000.1	reference genome	488313	488313	Pogoniulus pusillus	na	bPogPus1	latest	Chromosome	Major	Full	2020/11/03	bPogPus1.pri	Vertebrate Genomes Project	GCA_015220805.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/805/GCF_015220805.1_bPogPus1.pri	na	na	na	haploid	vertebrate_other	1272338968	1266326211	46.0	46	252	252	NCBI RefSeq	GCF_015220805.1-RS_2024_03	2024-03-28	20096	15465	4504	na	Birds
174960	GCF_015227805.2	PRJNA713843	SAMN14675488	JADDRP000000000.3	reference genome	43150	43150	Hirundo rustica	na	bHirRus1	latest	Chromosome	Major	Full	2021/11/30	bHirRus1.pri.v3	Vertebrate Genomes Project	GCA_015227805.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/227/805/GCF_015227805.2_bHirRus1.pri.v3	na	na	na	haploid	vertebrate_other	1105955550	1080421139	42.5	41	617	617	NCBI RefSeq	GCF_015227805.2-RS_2023_07	2023-07-19	18409	15517	2648	na	Birds
176167	GCF_015476345.1	PRJNA681492	SAMN15588841	JACGAL000000000.1	reference genome	8839	8839	Anas platyrhynchos	breed=Pekin duck	Z2	latest	Chromosome	Major	Full	2020/11/23	ZJU1.0	Zhejiang University	GCA_015476345.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/345/GCF_015476345.1_ZJU1.0	na	na	na	haploid	vertebrate_other	1188516685	1184286247	42.5	33	755	755	NCBI RefSeq	NCBI Anas platyrhynchos Annotation Release 104	2020-12-02	25093	16836	7966	na	Birds
178804	GCF_015832195.1	PRJNA684358	SAMN16093224	JACXWE000000000.1	reference genome	1094192	45807	Motacilla alba alba	na	MOTALB_02	latest	Chromosome	Major	Full	2020/12/08	Motacilla_alba_V1.0_pri	Uppsala University	GCA_015832195.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/832/195/GCF_015832195.1_Motacilla_alba_V1.0_pri	na	na	na	haploid	vertebrate_other	1072653902	1071750402	42.5	31	618	618	NCBI RefSeq	NCBI Motacilla alba alba Annotation Release 100	2020-12-11	18047	15594	2313	26641012	Birds
182921	GCF_016700215.2	PRJNA698614	SAMN15960293	JAENSL000000000.1	na	9031	9031	Gallus gallus	na	bGalGal1	latest	Chromosome	Major	Full	2021/10/01	bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ	Vertebrate Genomes Project	GCA_016700215.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/700/215/GCF_016700215.2_bGalGal1.pat.whiteleghornlayer.GRCg7w	na	na	na	haploid	vertebrate_other	1050511239	1046014928	42.0	41	276	685	NCBI RefSeq	NCBI Gallus gallus Annotation Release 106	2021-12-23	25564	17981	7323	na	Birds
189045	GCF_017639655.2	PRJNA719130	SAMN16870685	JAGFVS000000000.1	reference genome	148594	148594	Falco naumanni	na	bFalNau1	latest	Chromosome	Minor	Full	2021/03/30	bFalNau1.pat	Vertebrate Genomes Project	GCA_017639655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/655/GCF_017639655.2_bFalNau1.pat	na	na	na	haploid	vertebrate_other	1215702009	1211624722	42.5	27	290	290	NCBI RefSeq	NCBI Falco naumanni Annotation Release 100	2021-05-12	19775	16079	3450	na	Birds
190888	GCF_017976375.1	PRJNA939222	SAMN12629508	JAGIYT000000000.1	reference genome	55661	55661	Cuculus canorus	na	bCucCan1	latest	Chromosome	Major	Full	2021/04/15	bCucCan1.pri	Vertebrate Genomes Project	GCA_017976375.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/976/375/GCF_017976375.1_bCucCan1.pri	na	na	na	haploid	vertebrate_other	1180136575	1175214260	42.0	41	150	150	NCBI RefSeq	GCF_017976375.1-RS_2023_02	2023-02-28	19729	16774	2741	na	Birds
191627	GCF_018139145.2	PRJNA789573	SAMN18477433	JAGKTE000000000.2	reference genome	33616	33616	Gymnogyps californianus	na	813	latest	Chromosome	Major	Full	2022/09/01	ASM1813914v2	University of California San Francisco	GCA_018139145.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/139/145/GCF_018139145.2_ASM1813914v2	na	na	na	haploid	vertebrate_other	1240248578	1239932578	42.0	30	542	542	NCBI RefSeq	GCF_018139145.2-RS_2023_02	2023-02-26	17498	15144	1888	33989525	Birds
211314	GCF_020740725.1	PRJNA838000	SAMN22550278	JAJGSY000000000.1	reference genome	134902	134902	Corvus hawaiiensis	na	bCorHaw1	latest	Chromosome	Major	Full	2021/11/04	bCorHaw1.pri.cur	Vertebrate Genomes Project	GCA_020740725.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/725/GCF_020740725.1_bCorHaw1.pri.cur	na	na	na	haploid	vertebrate_other	1151594481	1149781254	43.5	43	187	187	NCBI RefSeq	NCBI Corvus hawaiiensis Annotation Release 100	2022-05-17	21647	16414	5050	na	Birds
211315	GCF_020740795.1	PRJNA895084	SAMN22785356	JAJGQY000000000.1	reference genome	8895	8895	Apus apus	na	bApuApu2	latest	Chromosome	Major	Full	2021/11/04	bApuApu2.pri.cur	Vertebrate Genomes Project	GCA_020740795.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/795/GCF_020740795.1_bApuApu2.pri.cur	na	na	na	haploid	vertebrate_other	1100361224	1098613695	42.0	31	109	109	NCBI RefSeq	GCF_020740795.1-RS_2023_02	2023-02-26	16724	14765	1828	na	Birds
211383	GCF_020745825.1	PRJNA942290	SAMN19590559	JAIWQD000000000.1	reference genome	39638	39638	Agelaius phoeniceus	na	BioBank_ID:100140	latest	Chromosome	Major	Full	2023/03/15	Agelaius phoeniceus 1.1	Brood Parasitic Bird Genomes Consortium	GCA_020745825.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/745/825/GCF_020745825.1_Agelaius_phoeniceus_1.1	na	na	na	haploid	vertebrate_other	1188530404	1188478804	43.0	37	440	515	NCBI RefSeq	GCF_020745825.1-RS_2023_03	2023-03-22	18121	16104	1646	23000817	Birds
212938	GCF_021018805.1	PRJNA1079263	SAMN20994451	JAIOWR000000000.2	reference genome	208062	208062	Prinia subflava	ecotype=Zambia	CZ2003	latest	Chromosome	Major	Full	2024/01/26	Cam_Psub_1.2	University of Missouri	GCA_021018805.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/018/805/GCF_021018805.1_Cam_Psub_1.2	na	na	na	haploid	vertebrate_other	1119947663	1119872063	42.5	37	538	538	NCBI RefSeq	GCF_021018805.1-RS_2024_02	2024-02-23	19289	16306	2711	na	Birds
222797	GCF_022539315.1	PRJNA870458	SAMN25990113	JAKSEN000000000.1	reference genome	9135	9135	Serinus canaria	na	serCan28SL12	latest	Chromosome	Major	Full	2022/08/25	serCan2020	Max Planck Institute for Biological Intelligence, in foundation, Seewiesen	GCA_022539315.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/539/315/GCF_022539315.1_serCan2020	na	na	na	haploid	vertebrate_other	1050336073	1049809073	42.5	31	684	684	NCBI RefSeq	GCF_022539315.1-RS_2023_02	2023-02-27	17915	15457	2302	22018543	Birds
230416	GCF_023343835.1	PRJNA853367	SAMN25144835	JAMCCT000000000.1	reference genome	64668	64668	Lagopus muta	na	bLagMut1	latest	Chromosome	Major	Full	2022/05/12	bLagMut1 primary	Vertebrate Genomes Project	GCA_023343835.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/343/835/GCF_023343835.1_bLagMut1_primary	na	na	na	haploid	vertebrate_other	1026755127	1026683190	41.5	40	164	164	NCBI RefSeq	NCBI Lagopus muta Annotation Release 100	2022-07-05	20110	16078	3753	28088402	Birds
231994	GCF_023634085.1	PRJNA962077	SAMN28688204	JAMOAL000000000.1	reference genome	345164	345164	Falco cherrug	na	bFalChe1	latest	Chromosome	Major	Full	2022/06/02	bFalChe1.pri	Vertebrate Genomes Project	GCA_023634085.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/634/085/GCF_023634085.1_bFalChe1.pri	na	na	na	haploid	vertebrate_other	1309366964	1305405309	43.0	24	282	282	NCBI RefSeq	GCF_023634085.1-RS_2023_04	2023-04-26	19950	16251	3479	na	Birds
231995	GCF_023634155.1	PRJNA962079	SAMN28688290	JAMOAR000000000.1	reference genome	8954	8954	Falco peregrinus	na	bFalPer1	latest	Chromosome	Major	Full	2022/06/02	bFalPer1.pri	Vertebrate Genomes Project	GCA_023634155.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/634/155/GCF_023634155.1_bFalPer1.pri	na	na	na	haploid	vertebrate_other	1311580791	1307566406	42.5	23	124	124	NCBI RefSeq	GCF_023634155.1-RS_2023_04	2023-04-26	19918	16083	3522	12078637;9724766	Birds
232013	GCF_023638135.1	PRJNA975131	SAMN28688289	JAMOAT000000000.1	reference genome	345155	345155	Falco biarmicus	na	bFalBia1	latest	Chromosome	Major	Full	2022/06/02	bFalBia1.pri	Vertebrate Genomes Project	GCA_023638135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/638/135/GCF_023638135.1_bFalBia1.pri	na	na	na	haploid	vertebrate_other	1285492283	1283339475	43.0	24	397	397	NCBI RefSeq	GCF_023638135.1-RS_2023_05	2023-05-22	19520	15891	3392	na	Birds
237925	GCF_024509145.1	PRJNA940467	SAMN27279399	JAMGYM000000000.1	reference genome	187451	187451	Vidua macroura	na	BioBank_ID:100142	latest	Chromosome	Major	Full	2022/08/03	ASM2450914v1	University of Missouri	GCA_024509145.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/509/145/GCF_024509145.1_ASM2450914v1	na	na	na	haploid	vertebrate_other	1123252761	1123218961	42.5	41	223	483	NCBI RefSeq	GCF_024509145.1-RS_2023_03	2023-03-03	20373	16296	3898	na	Birds
250245	GCF_026419915.1	PRJNA910140	SAMN31530492	JAPMHW000000000.1	reference genome	202280	202280	Harpia harpyja	na	bHarHar1	latest	Chromosome	Major	Full	2022/11/27	bHarHar1 primary haplotype	Vertebrate Genomes Project	GCA_026419915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/419/915/GCF_026419915.1_bHarHar1_primary_haplotype	na	na	na	haploid	vertebrate_other	1351447071	1348795677	43.5	30	322	322	NCBI RefSeq	GCF_026419915.1-RS_2023_02	2023-02-25	20830	16803	3809	na	Birds
252856	GCF_026979565.1	PRJNA940449	SAMN12254000	JAPVQZ000000000.1	reference genome	81927	81927	Vidua chalybeata	na	OUT-0048	latest	Chromosome	Major	Full	2022/12/21	bVidCha1 merged haplotype	Vertebrate Genomes Project	GCA_026979565.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/979/565/GCF_026979565.1_bVidCha1_merged_haplotype	na	na	na	haploid	vertebrate_other	1080440577	1080275046	42.0	41	177	177	NCBI RefSeq	GCF_026979565.1-RS_2023_03	2023-03-03	21003	16658	4143	na	Birds
253881	GCF_027477595.1	PRJNA1018583	SAMN28453576	JAPYKC000000000.1	reference genome	30427	30427	Haemorhous mexicanus	na	bHaeMex1	latest	Chromosome	Major	Full	2022/12/29	bHaeMex1.pri	Vertebrate Genomes Project	GCA_027477595.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/477/595/GCF_027477595.1_bHaeMex1.pri	na	na	na	haploid	vertebrate_other	1148216196	1137009051	43.0	41	183	183	NCBI RefSeq	GCF_027477595.1-RS_2023_09	2023-09-21	19965	16679	2947	22018543	Birds
254192	GCF_027579445.1	PRJNA994576	SAMN28421656	JAQCNT000000000.1	reference genome	2857394	2857394	Ammospiza nelsoni	na	bAmmNel1	latest	Chromosome	Major	Full	2023/01/09	bAmmNel1.pri	Vertebrate Genomes Project	GCA_027579445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/579/445/GCF_027579445.1_bAmmNel1.pri	na	na	na	haploid	vertebrate_other	1185463352	1180370373	43.0	37	77	77	NCBI RefSeq	GCF_027579445.1-RS_2023_09	2023-09-08	18165	15799	2014	na	Birds
256102	GCF_027791375.1	PRJNA944656	SAMN31686289	JAQHUL000000000.1	reference genome	1002788	1002788	Indicator indicator	na	239-I01	latest	Chromosome	Major	Full	2023/01/13	UM_Iind_1.1	Brood Parasitic Bird Genomes Consortium	GCA_027791375.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/791/375/GCF_027791375.1_UM_Iind_1.1	na	na	na	haploid	vertebrate_other	1147325966	1147270488	43.5	44	896	1452	NCBI RefSeq	GCF_027791375.1-RS_2023_03	2023-03-15	15060	14393	545	na	Birds
256657	GCF_027887145.1	PRJNA994575	SAMN28421630	JAQIHB000000000.1	reference genome	2857398	2857398	Ammospiza caudacuta	na	bAmmCau1	latest	Chromosome	Major	Full	2023/01/18	bAmmCau1.pri	Vertebrate Genomes Project	GCA_027887145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/145/GCF_027887145.1_bAmmCau1.pri	na	na	na	haploid	vertebrate_other	1241209685	1238290578	43.5	40	282	282	NCBI RefSeq	GCF_027887145.1-RS_2023_08	2023-08-08	18099	16439	1247	na	Birds
